season,date,home_team,away_team,home_score,away_score,result_code,source,odds_home_pinnacle,odds_draw_pinnacle,odds_away_pinnacle,odds_home_max,odds_draw_max,odds_away_max,odds_home_avg,odds_draw_avg,odds_away_avg,imp_home_pinnacle,imp_draw_pinnacle,imp_away_pinnacle,overround_pinnacle,imp_home_max,imp_draw_max,imp_away_max,overround_max,imp_home_avg,imp_draw_avg,imp_away_avg,overround_avg
2012/2013,2012-08-26,Pachuca,Santos Laguna,0,0,0,football-data,2.29,3.58,3.22,2.46,3.58,3.22,2.25,3.26,2.97,0.4366812227074236,0.27932960893854747,0.3105590062111801,0.026569837857151057,0.4065040650406504,0.27932960893854747,0.3105590062111801,-0.003607319809622034,0.4444444444444444,0.3067484662576687,0.33670033670033667,0.08789324740244986
2012/2013,2012-08-26,Puebla,Atl. San Luis,1,0,1,football-data,2.71,3.25,2.87,2.74,3.4,3.1,2.42,3.18,2.8,0.36900369003690037,0.3076923076923077,0.3484320557491289,0.02512805347833691,0.36496350364963503,0.29411764705882354,0.3225806451612903,-0.018338204130251112,0.4132231404958678,0.31446540880503143,0.35714285714285715,0.08483140644375631
2012/2013,2012-08-26,Pumas UNAM,Cruz Azul,0,1,-1,football-data,2.79,3.26,2.76,2.8,3.3,3.25,2.5,3.1,2.76,0.35842293906810035,0.3067484662576687,0.3623188405797102,0.027490245905479327,0.35714285714285715,0.30303030303030304,0.3076923076923077,-0.0321345321345321,0.4,0.3225806451612903,0.3623188405797102,0.08489948574100059
2012/2013,2012-08-26,Tigres UANL,Toluca,1,1,0,football-data,1.93,3.66,4.29,1.95,4.0,4.4,1.85,3.45,3.88,0.5181347150259068,0.27322404371584696,0.2331002331002331,0.024458991841986855,0.5128205128205129,0.25,0.22727272727272727,-0.009906759906759821,0.5405405405405405,0.2898550724637681,0.2577319587628866,0.08812757176719521
2012/2013,2012-08-27,Atlante,Atlas,1,0,1,football-data,2.06,3.61,3.81,2.25,3.61,3.81,2.13,3.25,3.24,0.4854368932038835,0.2770083102493075,0.26246719160104987,0.02491239505424092,0.4444444444444444,0.2770083102493075,0.26246719160104987,-0.01608005370519816,0.4694835680751174,0.3076923076923077,0.30864197530864196,0.08581785107606699
2012/2013,2012-09-01,Cruz Azul,Pachuca,1,1,0,football-data,1.85,3.7,4.69,1.9,3.7,4.7,1.83,3.44,4.03,0.5405405405405405,0.27027027027027023,0.21321961620469082,0.02403042701550162,0.5263157894736842,0.27027027027027023,0.2127659574468085,0.009352017190763062,0.5464480874316939,0.29069767441860467,0.24813895781637715,0.08528471966667572
2012/2013,2012-09-01,Morelia,Pumas UNAM,0,1,-1,football-data,1.96,3.58,4.23,2.04,3.7,5.2,1.94,3.34,3.71,0.5102040816326531,0.27932960893854747,0.23640661938534277,0.025940309956543173,0.49019607843137253,0.27027027027027023,0.1923076923076923,-0.04722595899066495,0.5154639175257733,0.29940119760479045,0.2695417789757412,0.08440689410630497
2012/2013,2012-09-01,Queretaro,Atlante,0,1,-1,football-data,3.58,3.62,2.12,3.58,3.62,2.2,3.28,3.29,2.1,0.27932960893854747,0.27624309392265195,0.4716981132075471,0.027270816068746484,0.27932960893854747,0.27624309392265195,0.45454545454545453,0.010118157406654005,0.3048780487804878,0.303951367781155,0.47619047619047616,0.08501989275211885
2012/2013,2012-09-01,Tijuana,Chiapas,2,0,1,football-data,1.99,3.39,4.38,2.02,3.7,5.5,1.87,3.35,4.01,0.5025125628140703,0.2949852507374631,0.22831050228310504,0.025808315834638496,0.49504950495049505,0.27027027027027023,0.18181818181818182,-0.0528620429610529,0.53475935828877,0.29850746268656714,0.24937655860349128,0.08264337957882839
2012/2013,2012-09-02,Atl. San Luis,Leon,0,2,-1,football-data,3.3,3.65,2.23,3.4,3.74,2.35,3.06,3.27,2.21,0.30303030303030304,0.273972602739726,0.4484304932735426,0.02543339904357156,0.29411764705882354,0.267379679144385,0.425531914893617,-0.01297075890317445,0.32679738562091504,0.3058103975535168,0.45248868778280543,0.08509647095723727
2012/2013,2012-09-02,Guadalajara,Puebla,1,1,0,football-data,1.81,3.73,4.86,1.9,3.73,5.0,1.82,3.37,4.18,0.5524861878453039,0.2680965147453083,0.20576131687242796,0.026344019463040214,0.5263157894736842,0.2680965147453083,0.2,-0.0055876957810074845,0.5494505494505494,0.29673590504451036,0.23923444976076558,0.08542090425582538
2012/2013,2012-09-02,Monterrey,Atlas,1,1,0,football-data,1.61,4.32,5.82,1.63,4.32,6.4,1.56,3.78,5.62,0.6211180124223602,0.23148148148148145,0.1718213058419244,0.024420799745766164,0.6134969325153374,0.23148148148148145,0.15625,0.0012284139968188335,0.641025641025641,0.2645502645502646,0.17793594306049823,0.08351184863640393
